Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Lagorchestes_hirsutus,Diprotodontia,Macropodidae,Lagorchestes,hirsutus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1265,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lagorchestes_leporides,Diprotodontia,Macropodidae,Lagorchestes,leporides,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,3262.7,Assumed isometric based on head-body length,"Van Dyck S, Straham R. The Mammals of Australia Third edition (2008)",Lagorchestes_conspicillatus,"Van Dyck S, Straham R. The Mammals of Australia Third edition (2008)",Occurs on mainland,EX,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lagostomus_crassus,Rodentia,Chinchillidae,Lagostomus,crassus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,5691.3,Assumed isometric based on mandible size,Annals and Magazine of Natural History 8 5: 239-247 (1910),Lagostomus_maximus,Annals and Magazine of Natural History 8 5: 239-247 (1910),Occurs on mainland,EX,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lagostomus_maximus,Rodentia,Chinchillidae,Lagostomus,maximus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,4647.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lagostrophus_fasciatus,Diprotodontia,Macropodidae,Lagostrophus,fasciatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,1700,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lagothrix_cana,Primates,Atelidae,Lagothrix,cana,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,6400,Reported,Journal of Mammalogy 44: 213-247 (1963),NA,NA,Occurs on mainland,EN,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lagothrix_lagotricha,Primates,Atelidae,Lagothrix,lagotricha,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,6788.9,Reported,Journal of Mammalogy 44: 213-247 (1963),NA,NA,Occurs on mainland,VU,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lagothrix_lugens,Primates,Atelidae,Lagothrix,lugens,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,6e3,Reported,Journal of Mammalogy 44: 213-247 (1963),NA,NA,Occurs on mainland,CR,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lagothrix_poeppigii,Primates,Atelidae,Lagothrix,poeppigii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,4200,Reported,Journal of Mammalogy 44: 213-247 (1963),NA,NA,Occurs on mainland,VU,No,80,0,20,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8."
Lagurus_lagurus,Rodentia,Cricetidae,Lagurus,lagurus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,20.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lama_guanicoe,Cetartiodactyla,Camelidae,Lama,guanicoe,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,12e4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lamottemys_okuensis,Rodentia,Muridae,Lamottemys,okuensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,56.1,Reported,Global Ecology and Biogeography 18: 19-29 (2009),NA,NA,Occurs on mainland,EN,No,91,0,9,Imputed 000 Species,PHYLACINE 1.2
Lampronycteris_brachyotis,Chiroptera,Phyllostomidae,Lampronycteris,brachyotis,0,0,0,1,Taxonomic,PHYLACINE 1.2,11,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,20,0,80,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Laonastes_aenigmamus,Rodentia,Diatomyidae,Laonastes,aenigmamus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,375,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),NA,NA,Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lariscus_hosei,Rodentia,Sciuridae,Lariscus,hosei,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,170.7,Assumed isometric based on head-body length,Journal of Mammalogy 89: 852-873 (2008),Lariscus_insignis,Journal of Mammalogy 89: 852-873 (2008),Occurs on large land bridge islands,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lariscus_insignis,Rodentia,Sciuridae,Lariscus,insignis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,175,Reported,Journal of Mammalogy 89: 852-873 (2008),NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lariscus_niobe,Rodentia,Sciuridae,Lariscus,niobe,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,179.2,Assumed isometric based on head-body length,Journal of Mammalogy 89: 852-873 (2008),Lariscus_insignis,Journal of Mammalogy 89: 852-873 (2008),Occurs on large land bridge islands,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lariscus_obscurus,Rodentia,Sciuridae,Lariscus,obscurus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,188.3,Reported,Journal of Mammalogy 89: 852-873 (2008),NA,NA,Occurs only on isolated islands,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasionycteris_noctivagans,Chiroptera,Vespertilionidae,Lasionycteris,noctivagans,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiopodomys_brandtii,Rodentia,Cricetidae,Lasiopodomys,brandtii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,93.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiopodomys_fuscus,Rodentia,Cricetidae,Lasiopodomys,fuscus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,42.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiopodomys_mandarinus,Rodentia,Cricetidae,Lasiopodomys,mandarinus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,59.3,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,Lasiorhinus,krefftii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,31450,Reported,"Van Dyck S, Straham R. The Mammals of Australia Third edition (2008)",NA,NA,Occurs on mainland,CR,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,Lasiorhinus,latifrons,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,25500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_atratus,Chiroptera,Vespertilionidae,Lasiurus,atratus,0,0,0,1,Taxonomic,PHYLACINE 1.2,19.4,As relative of suggested similar size,Proceedings of the Biological Society of Washington 109: 1-9 (1996),Lasiurus_cinereus,"Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)",Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_blossevillii,Chiroptera,Vespertilionidae,Lasiurus,blossevillii,0,0,0,1,Taxonomic,PHYLACINE 1.2,13,Reported,National Audubon Society. National Audubon Society Field Guide to North American Mammals (1996),NA,NA,Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_borealis,Chiroptera,Vespertilionidae,Lasiurus,borealis,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_castaneus,Chiroptera,Vespertilionidae,Lasiurus,castaneus,0,0,0,1,Taxonomic,PHYLACINE 1.2,13.5,Reported,Reid FA. A field guide to the Mammals of Central America and South East Mexico (2009),NA,NA,Occurs on mainland,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_cinereus,Chiroptera,Vespertilionidae,Lasiurus,cinereus,0,0,0,1,Taxonomic,PHYLACINE 1.2,25.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_degelidus,Chiroptera,Vespertilionidae,Lasiurus,degelidus,0,0,0,1,Taxonomic,PHYLACINE 1.2,12.8,Assumed isometric based on mandible size,American Museum Novitates 3243: 1-6 (1998),Lasiurus_borealis,American Museum Novitates 3243: 1-6 (1998),Occurs only on isolated islands,VU,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_ebenus,Chiroptera,Vespertilionidae,Lasiurus,ebenus,0,0,0,1,Taxonomic,PHYLACINE 1.2,18.7,Assumed isometric based on forearm length,"Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)",Lasiurus_cinereus,"Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)",Occurs on mainland,DD,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_ega,Chiroptera,Vespertilionidae,Lasiurus,ega,0,0,0,1,Taxonomic,PHYLACINE 1.2,13.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_egregius,Chiroptera,Vespertilionidae,Lasiurus,egregius,0,0,0,1,Taxonomic,PHYLACINE 1.2,20,Reported,Reid FA. A field guide to the Mammals of Central America and South East Mexico (2009),NA,NA,Occurs on mainland,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_insularis,Chiroptera,Vespertilionidae,Lasiurus,insularis,0,0,0,1,Taxonomic,PHYLACINE 1.2,31.6,Assumed isometric based on mandible size,University of Kansas Publications Museum of Natural History 14 : 73-98 (1961),Lasiurus_intermedius,University of Kansas Publications Museum of Natural History 14 : 73-98 (1961 ),Occurs only on isolated islands,VU,No,0,0,100,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_intermedius,Chiroptera,Vespertilionidae,Lasiurus,intermedius,0,0,0,1,Taxonomic,PHYLACINE 1.2,23,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_minor,Chiroptera,Vespertilionidae,Lasiurus,minor,0,0,0,1,Taxonomic,PHYLACINE 1.2,9.4,Assumed isometric based on mandible size,American Museum Novitates 3243: 1-6 (1998),Lasiurus_borealis,American Museum Novitates 3243: 1-6 (1998),Occurs only on isolated islands,VU,No,0,0,100,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_pfeifferi,Chiroptera,Vespertilionidae,Lasiurus,pfeifferi,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.1,Assumed isometric based on mandible size,American Museum Novitates 3243: 1-6 (1998),Lasiurus_borealis,American Museum Novitates 3243: 1-6 (1998),Occurs only on isolated islands,NT,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_seminolus,Chiroptera,Vespertilionidae,Lasiurus,seminolus,0,0,0,1,Taxonomic,PHYLACINE 1.2,9.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lasiurus_varius,Chiroptera,Vespertilionidae,Lasiurus,varius,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.4,Assumed isometric based on mandible size,American Museum Novitates 3243: 1-6 (1998),Lasiurus_borealis,American Museum Novitates 3243: 1-6 (1998),Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lasiurus_xanthinus,Chiroptera,Vespertilionidae,Lasiurus,xanthinus,0,0,0,1,Taxonomic,PHYLACINE 1.2,10.7,Assumed isometric based on forearm length,National Audubon Society. National Audubon Society Field Guide to North American Mammals (1996),Lasiurus_borealis,National Audubon Society. National Audubon Society Field Guide to North American Mammals (1996),Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Latidens_salimalii,Chiroptera,Pteropodidae,Latidens,salimalii,0,0,0,1,Taxonomic,PHYLACINE 1.2,55.2,Assumed isometric based on forearm length,Francis CM. A Guide to the Mammals of Southeast Asia (2008),Penthetor_lucasi,Bonner Zoologische Beitrage 45: 89-98 (1997),Occurs on mainland,EN,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lavia_frons,Chiroptera,Megadermatidae,Lavia,frons,0,0,0,1,Taxonomic,PHYLACINE 1.2,23.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Leggadina_forresti,Rodentia,Muridae,Leggadina,forresti,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,20,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Leggadina_lakedownensis,Rodentia,Muridae,Leggadina,lakedownensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,17.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Leimacomys_buettneri,Rodentia,Muridae,Leimacomys,buettneri,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,60,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Occurs on mainland,DD,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemmiscus_curtatus,Rodentia,Cricetidae,Lemmiscus,curtatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,28.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemmus_amurensis,Rodentia,Cricetidae,Lemmus,amurensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,51.4,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemmus_lemmus,Rodentia,Cricetidae,Lemmus,lemmus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,47.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemmus_portenkoi,Rodentia,Cricetidae,Lemmus,portenkoi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,52.9,Imputed,PHYLACINE 1.2,NA,NA,Occurs on large land bridge islands,DD,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lemmus_sibiricus,Rodentia,Cricetidae,Lemmus,sibiricus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,52.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemmus_trimucronatus,Rodentia,Cricetidae,Lemmus,trimucronatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,80.5,Reported,National Audubon Society. National Audubon Society Field Guide to North American Mammals (1996),NA,NA,Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Lemniscomys_barbarus,Rodentia,Muridae,Lemniscomys,barbarus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,49,Reported,"Happold DCD (2013) Mammals of Africa, Volume III. Pp 443-444. D. C. D. Happold . Lemniscomys barbarus",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemniscomys_bellieri,Rodentia,Muridae,Lemniscomys,bellieri,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,36,Reported,"Happold DCD (2013) Mammals of Africa, Volume III. Pp 444-445. Erik Van der Straeten . Lemniscomys belleri",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemniscomys_griselda,Rodentia,Muridae,Lemniscomys,griselda,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,58,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemniscomys_hoogstraali,Rodentia,Muridae,Lemniscomys,hoogstraali,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,58.3,Assumed isometric based on skull size,"Happold DCD (2013) Mammals of Africa, Volume III. Pp 446-447. Fritz Dieterlen. Lemniscomys hoogstraali",Lemniscomys_barbarus,"D. C. D. Happold . 2013. Lemniscomys barbarus. In: Mammals of Africa, Volume III (Ed. D. C. D. Happold). Bloomsbury Publishing, London. Pp 443-444",Occurs on mainland,DD,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemniscomys_linulus,Rodentia,Muridae,Lemniscomys,linulus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,27,Reported,"Happold DCD (2013) Mammals of Africa, Volume III. Pp 447-448. Erik Van der Straeten . Lemniscomys limulus",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemniscomys_macculus,Rodentia,Muridae,Lemniscomys,macculus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,30.3,Reported,"Happold DCD (2013) Mammals of Africa, Volume III. Pp 448-449. Fritz Dieterlen. Lemniscomys macculus",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Lemniscomys_mittendorfi,Rodentia,Muridae,Lemniscomys,mittendorfi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,28,Reported,"Happold DCD (2013) Mammals of Africa, Volume III. Pp 449. Erik Van der Straeten. Lemniscomys mittendorfi",NA,NA,Occurs on mainland,VU,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
